Gene	Control	Control_r	shPTB	shPTB_r	shPTBnPTB	shPTBnPTB_r
LRRC39	4	5	11	4	11	8
LRRC3B	0	0	0	0	0	0
LRRC3C	0	0	0	0	0	0
LRRC4	0	0	128	0	0	0
LRRC40	118	71	103	61	165	109
LRRC41	131	84	158	79	146	97
LRRC42	66	56	106	59	99	73
LRRC43	2	1	0	1	2	0
LRRC45	13	20	36	19	15	12
LRRC46	2	2	1	0	1	0
LRRC47	46	33	40	14	59	32
LRRC49	39	20	48	38	65	28
LRRC4B	0	0	0	0	0	0
LRRC4C	0	0	0	0	1	0
LRRC52	0	0	0	0	0	0
LRRC55	0	0	0	0	0	0
LRRC56	2	7	0	1	2	0
LRRC57	11	10	32	13	23	19
LRRC58	15	9	20	6	33	12
LRRC59	92	83	229	102	228	131
LRRC6	6	5	6	12	5	10
LRRC61	1	0	0	0	0	0
LRRC63	0	0	0	0	1	2
LRRC66	1	0	2	1	2	2
LRRC69	5	1	4	1	2	0
LRRC7	0	0	0	0	1	1
LRRC70	0	0	0	0	0	0
LRRC71	0	0	0	0	1	1
LRRC72	0	0	0	0	0	0
LRRC73	1	2	2	0	3	0
LRRC74A	0	0	0	0	0	0
LRRC74B	0	0	0	0	0	0
LRRC75A	6	5	18	6	4	10
LRRC75A-AS1	1648	1517	1427	685	1613	1102
LRRC75B	7	8	2	0	1	0
LRRC8A	4	4	15	4	5	7
LRRC8B	13	2	4	5	4	3
LRRC8C	9	2	2	1	0	1
LRRC8D	8	12	7	2	5	1
LRRC8E	4	3	11	5	2	2
LRRC9	0	0	1	1	0	1
LRRCC1	7	4	8	2	8	14
LRRD1	1	0	1	1	3	0
LRRFIP1	76	54	303	174	241	145
LRRFIP2	757	413	1508	1196	1539	1204
LRRIQ1	0	0	0	0	3	2
LRRIQ3	0	0	0	0	0	0
LRRIQ4	0	0	0	0	0	0
LRRK1	89	48	63	40	48	11
LRRK2	143	102	357	211	266	208
LRRN1	0	0	0	0	0	0
LRRN2	0	0	0	0	0	0
LRRN3	1	1	1	4	1	1
LRRN4	0	0	1	0	0	1
LRRN4CL	0	0	0	0	1	0
LRRTM1	0	0	0	0	0	0
LRRTM2	0	0	0	0	0	0
LRRTM3	0	0	0	0	0	0
LRRTM4	0	0	0	0	0	0
LRSAM1	22	23	81	44	78	51
LRTM1	0	0	0	0	0	0
LRTM2	0	0	0	0	0	0
LRTOMT	10	6	6	4	9	3
LRWD1	46	27	67	30	68	39
LSAMP	6	4	2	1	0	0
LSAMP-AS1	1	0	0	0	0	0
LSG1	48	40	96	56	130	80
LSM1	56	58	120	84	122	78
LSM10	2	0	11	4	6	1
LSM11	8	3	4	0	3	1
LSM12	50	40	64	30	76	43
LSM14A	129	113	171	75	199	109
LSM14B	78	67	147	63	109	76
LSM2	29	17	47	11	57	35
LSM3	51	64	32	30	71	38
LSM4	53	65	60	16	79	43
LSM5	45	34	54	30	67	52
LSM6	25	39	26	11	66	38
LSM7	30	12	49	25	60	52
LSM8	56	46	106	52	62	61
LSMEM1	2	4	3	1	2	1
LSMEM2	0	0	0	0	3	0
LSP1	26	17	18	5	7	7
LSP1P3	0	0	0	0	0	0
LSR	4	7	6	2	4	5
LSS	373	354	608	276	402	274
LST1	0	0	0	0	0	0
LTA	0	0	0	0	0	0
LTA4H	362	357	649	334	741	440
LTB	0	0	0	0	3	0
LTB4R	0	0	0	0	0	0
LTB4R2	1	1	0	0	0	0
LTBP1	1120	887	1675	749	2286	1506
LTBP2	1028	850	294	168	585	362
LTBP3	55	57	66	32	58	33
LTBP4	25	5	10	12	16	9
LTBR	154	93	415	198	415	251
LTC4S	2	0	0	1	0	0
LTF	1	0	0	0	0	0
LTK	0	1	1	0	1	0
LTN1	284	223	416	198	246	134
LTV1	46	27	63	50	136	104
LUADT1	0	0	2	1	1	0
LUC7L	74	63	69	47	99	67
LUC7L2	101	123	156	81	158	69
LUC7L3	207	132	236	143	283	195
LUCAT1	6	2	9	5	7	5
LUM	0	0	0	0	1	0
LUNAR1	0	0	0	0	0	0
LURAP1	0	0	0	0	0	0
LURAP1L	2	0	0	0	0	0
LURAP1L-AS1	7	3	5	1	9	15
LUZP1	9	9	10	4	6	0
LUZP2	0	0	2	0	1	0
LUZP4	0	0	1	0	0	0
LUZP6	85	86	123	72	120	95
LVCAT1	0	0	0	0	0	0
LVCAT5	0	0	0	0	0	0
LVCAT8	1	0	0	1	0	0
LVRN	1	0	0	1	3	1
LXN	90	70	76	99	100	100
LY6D	0	0	0	0	0	0
LY6E	120	76	85	59	92	87
LY6G5B	1	3	2	0	0	0
LY6G5C	0	0	1	0	0	0
LY6G6C	0	0	0	0	0	0
LY6G6D	0	0	0	0	0	0
LY6G6E	0	0	0	0	0	0
LY6G6F	0	0	0	0	0	0
LY6H	0	0	0	0	0	0
LY6K	14	12	17	13	8	7
LY75	74	47	30	25	18	16
LY75-CD302	126	76	58	35	35	25
LY86	0	0	0	0	0	0
LY86-AS1	0	0	0	0	0	0
LY9	0	0	0	0	0	0
LY96	63	42	54	37	92	39
LYAR	37	20	52	27	59	39
LYG1	0	2	3	2	6	0
LYG2	0	0	1	1	1	0
LYL1	0	0	0	0	0	0
LYN	23	16	18	10	6	6
LYNX1	2	2	1	1	2	4
LYPD1	0	0	0	0	0	0
LYPD2	0	0	0	0	0	0
LYPD3	0	0	0	0	0	0
LYPD4	0	0	0	0	0	0
LYPD5	0	0	2	1	1	0
LYPD6	0	0	0	0	3	4
LYPD6B	1	1	3	1	2	3
LYPD8	0	0	0	0	0	0
LYPLA1	102	82	208	52	232	164
LYPLA2	105	98	219	124	231	137
LYPLA2P2	0	0	0	0	0	0
LYPLAL1	12	18	49	16	89	42
LYPLAL1-AS1	1	0	4	0	1	3
LYRM1	27	14	75	26	66	64
LYRM2	25	21	37	15	54	25
LYRM4	28	31	85	21	75	31
LYRM4-AS1	15	14	4	8	13	2
LYRM5	10	10	33	9	9	4
LYRM7	15	13	24	12	22	14
LYRM9	1	0	8	2	4	4
LYSMD1	2	0	0	1	0	1
LYSMD2	0	0	0	0	0	2
LYSMD3	3	0	10	2	7	4
LYSMD4	1	0	10	3	5	7
LYST	348	222	1733	897	1248	816
LYVE1	0	0	2	3	2	4
LYZ	0	0	0	0	0	0
LYZL1	0	5	0	0	0	0
LYZL2	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0
LZIC	93	60	136	69	127	74
LZTFL1	34	51	105	56	127	69
LZTR1	61	56	222	79	160	103
LZTS1	0	0	0	0	0	0
LZTS1-AS1	0	0	0	0	0	0
LZTS2	3	1	0	1	1	0
LZTS3	0	0	1	1	1	1
M1AP	2	0	4	2	0	0
M6PR	159	124	499	228	535	370
MAATS1	0	1	1	0	0	0
MAB21L1	4	1	4	1	12	2
MAB21L2	0	0	0	2	2	0
MAB21L3	0	0	0	0	3	0
MACC1	0	0	2	0	0	0
MACC1-AS1	0	0	3	0	0	0
MACF1	1402	1092	2169	1168	1792	1152
MACROD1	20	12	31	11	24	10
MACROD2	1	3	4	1	5	3
MACROD2-AS1	0	0	0	0	0	0
MACROD2-IT1	0	1	0	0	1	0
MAD1L1	42	33	105	59	67	45
MAD2L1	11	8	9	3	3	8
MAD2L1BP	1	0	0	0	0	1
MAD2L2	47	30	26	30	93	37
MADCAM1	0	0	2	0	0	0
MADD	110	80	211	100	299	157
MAEA	47	54	122	47	83	46
MAEL	0	0	0	0	0	0
MAF	0	0	0	0	1	0
MAF1	150	124	296	163	313	216
MAFA	0	0	0	0	0	0
MAFA-AS1	0	0	0	0	0	0
MAFB	0	0	0	0	0	0
MAFF	2	1	1	2	3	0
MAFG	11	6	7	4	10	7
MAFG-AS1	0	0	0	0	0	0
MAFIP	12	3	21	13	13	6
MAFK	1	1	21	5	17	5
MAFTRR	0	0	0	0	0	0
MAG	0	0	0	0	0	0
MAGEA1	0	0	0	0	0	0
MAGEA10	0	0	0	0	0	0
MAGEA10-MAGEA5	0	0	0	0	0	0
MAGEA11	0	0	0	0	0	0
MAGEA12	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0
MAGEA5	0	0	0	0	0	0
MAGEA6	0	0	0	0	0	0
MAGEA8	0	0	0	0	0	0
MAGEA8-AS1	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0
MAGEB10	0	0	0	0	0	0
MAGEB16	0	0	0	0	0	0
MAGEB17	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	0
MAGEC2	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0
MAGED1	385	326	331	192	537	342
MAGED2	477	403	348	256	805	477
MAGED4	5	0	5	0	0	0
MAGED4B	5	0	5	0	0	0
MAGEE1	0	0	0	0	0	0
MAGEE2	0	0	0	0	0	0
MAGEF1	0	0	0	0	0	2
MAGEH1	0	0	0	0	0	0
MAGEL2	0	0	0	0	0	0
MAGI1	82	44	79	52	81	51
MAGI1-AS1	1	0	2	2	1	0
MAGI2	1	1	17	12	11	6
MAGI2-AS2	3	3	6	9	6	3
MAGI2-AS3	32	25	45	21	85	52
MAGI3	26	24	39	22	50	41
MAGIX	0	0	0	0	0	0
MAGOH	66	45	73	48	105	53
MAGOH2P	0	4	0	0	3	0
MAGOHB	34	30	28	20	91	46
MAGT1	142	103	349	205	561	295
MAK	1	5	4	3	0	0
MAK16	50	31	87	49	79	73
MAL	0	0	0	0	0	0
MAL2	0	0	0	0	0	0
MALAT1	0	0	0	0	1	0
MALL	0	0	8	14	13	4
MALRD1	0	0	0	0	0	0
MALSU1	31	26	58	29	62	31
MALT1	330	243	189	101	201	119
MAMDC2	81	50	27	9	58	43
MAMDC2-AS1	12	12	5	0	2	8
MAMDC4	48	26	20	4	36	23
MAML1	3	1	4	2	4	5
MAML2	4	3	1	2	1	2
MAML3	1	0	4	1	1	3
MAMLD1	0	1	1	1	1	0
MAMSTR	0	2	1	2	1	2
MAN1A1	578	397	710	356	344	217
MAN1A2	165	142	188	93	141	116
MAN1B1	157	111	375	214	423	286
MAN1B1-AS1	0	0	0	0	0	0
MAN1C1	13	7	46	18	22	14
MAN2A1	447	380	320	189	548	330
MAN2A2	41	24	57	29	72	34
MAN2B1	328	261	472	189	365	239
MAN2B2	80	65	81	39	78	54
MAN2C1	109	103	148	84	157	92
MANBA	103	75	195	110	92	74
MANBAL	11	9	31	6	23	7
MANEA	15	4	19	20	11	7
MANEA-AS1	0	0	2	0	1	0
MANEAL	0	0	0	0	0	0
MANF	29	26	144	73	147	100
MANSC1	4	0	1	1	1	0
MANSC4	0	0	0	0	0	0
MAOA	123	99	234	184	112	81
MAOB	1	0	0	0	0	0
MAP10	0	0	0	0	0	0
MAP1A	22	18	136	63	159	118
MAP1B	69	39	157	92	199	117
MAP1LC3A	30	22	39	23	29	12
MAP1LC3B	46	32	138	69	100	52
MAP1LC3B2	0	0	0	0	0	0
MAP1LC3C	4	4	1	1	0	1
MAP1S	6	5	15	11	16	4
MAP2	11	15	19	3	17	11
MAP2K1	136	103	118	43	110	50
MAP2K2	300	275	467	188	461	296
MAP2K3	57	48	100	28	60	39
MAP2K4	65	71	79	45	84	46
MAP2K4P1	0	0	0	0	0	0
MAP2K5	17	15	17	11	39	22
MAP2K6	42	49	2	10	7	13
MAP2K7	27	18	40	12	53	39
MAP3K1	54	39	55	32	36	24
MAP3K10	4	8	15	11	34	23
MAP3K11	28	25	27	11	34	37
MAP3K12	75	56	157	79	151	98
MAP3K13	1	2	5	3	7	3
MAP3K14	13	24	20	4	4	3
MAP3K14-AS1	1	9	7	5	4	1
MAP3K15	3	8	4	5	9	1
MAP3K19	0	0	0	0	0	0
MAP3K2	112	85	151	91	218	130
MAP3K3	133	135	233	98	98	79
MAP3K4	115	87	134	85	278	200
MAP3K5	136	134	142	85	146	104
MAP3K6	37	23	86	43	89	53
MAP3K7	226	160	242	120	144	102
MAP3K7CL	19	8	23	11	41	9
MAP3K8	12	6	17	5	13	2
MAP3K9	0	0	0	0	0	0
MAP4	324	227	718	387	655	472
MAP4K1	0	0	0	0	0	0
MAP4K2	26	17	55	15	28	9
MAP4K3	428	332	326	165	352	209
MAP4K4	1255	924	1696	915	2041	1446
MAP4K5	425	348	625	382	589	350
MAP6	1	1	2	1	0	2
MAP6D1	0	0	1	0	0	0
MAP7	6	1	101	48	37	21
MAP7D1	147	69	250	133	212	140
MAP7D2	0	0	3	3	8	7
MAP7D3	134	113	174	94	201	188
MAP9	39	28	60	29	127	73
MAPK1	152	150	248	161	166	94
MAPK10	1	1	12	6	14	11
MAPK11	8	15	4	4	21	11
MAPK12	41	26	38	19	26	8
MAPK13	23	15	24	5	39	20
MAPK14	137	95	166	93	185	125
MAPK15	0	1	0	0	0	1
MAPK1IP1L	3	1	13	1	5	3
MAPK3	73	44	96	68	95	62
MAPK4	0	0	0	0	0	0
MAPK6	38	32	54	26	55	52
MAPK7	3	7	7	1	7	3
MAPK8	93	56	62	46	92	70
MAPK8IP1	16	6	7	4	16	15
MAPK8IP2	0	2	1	1	9	3
MAPK8IP3	132	105	155	72	89	51
MAPK9	85	71	106	77	108	87
MAPKAP1	114	66	396	187	496	307
MAPKAPK2	150	135	157	83	196	124
MAPKAPK3	62	83	240	143	367	198
MAPKAPK5	59	59	174	77	248	150
MAPKAPK5-AS1	2	3	10	0	9	4
MAPKBP1	39	49	148	60	103	44
MAPRE1	124	84	225	111	225	156
MAPRE2	24	10	56	53	61	35
MAPRE3	9	3	7	6	19	8
MAPT	0	0	3	16	4	4
MAPT-AS1	0	0	0	0	0	0
MAPT-IT1	0	0	0	0	0	0
MARC1	3	0	2	0	1	0
MARC2	10	4	2	1	2	0
MARCH1	0	0	10	0	1	0
MARCH10	5	3	0	0	0	1
MARCH11	0	0	0	0	0	0
MARCH2	24	18	29	7	30	20
MARCH3	11	10	7	5	8	7
MARCH4	0	1	1	0	1	1
MARCH5	22	30	38	22	34	31
MARCH6	286	234	360	161	261	152
MARCH7	127	114	128	64	152	132
MARCH8	22	12	38	13	67	28
MARCH9	1	0	0	0	0	2
MARCKS	0	0	0	0	0	0
MARCKSL1	0	0	0	0	0	0
MARCO	2	0	1	0	5	2
MARK1	3	3	4	6	3	7
MARK2	22	27	65	24	41	24
MARK2P9	0	0	0	0	0	0
MARK3	317	268	373	201	495	310
MARK4	30	18	54	20	76	56
MARS	683	540	696	377	1044	584
MARS2	0	0	0	0	0	0
MARVELD1	0	0	0	0	0	0
MARVELD2	0	0	0	0	0	0
MARVELD3	0	0	0	0	0	0
MAS1	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0
MASP1	340	299	280	120	288	176
MASP2	0	2	1	1	2	3
MAST1	0	0	0	0	1	0
MAST2	67	75	160	64	139	103
MAST3	5	14	25	6	23	11
MAST4	21	13	42	17	22	13
MASTL	25	20	21	16	41	17
MAT1A	0	0	4	0	0	0
MAT2A	229	232	489	249	483	296
MAT2B	156	128	143	97	137	84
MATK	0	0	0	0	0	0
MATN1	0	0	0	0	0	0
MATN1-AS1	0	0	0	0	1	0
MATN2	170	128	204	129	144	109
MATN3	9	0	1	0	4	0
MATN4	0	0	0	0	0	0
MATR3	759	695	1790	894	2226	1443
MAU2	78	66	107	42	91	37
MAVS	63	46	74	31	69	43
MAX	64	42	106	71	203	142
MAZ	82	53	96	66	145	101
MB	0	0	1	1	1	0
MB21D1	6	3	2	0	3	1
MB21D2	0	0	0	0	0	0
MBD1	91	81	151	59	175	127
MBD2	127	118	146	64	149	105
MBD3	86	60	149	74	172	108
MBD3L1	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0
MBD3L3	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0
MBD4	85	58	53	36	99	48
MBD5	28	19	43	20	39	26
MBD6	3	2	12	4	10	11
MBIP	31	24	24	16	25	16
MBL1P	0	0	1	0	0	0
MBL2	0	0	0	0	0	0
MBLAC1	1	0	0	0	0	1
MBLAC2	0	0	0	0	0	0
MBNL1	162	115	163	87	211	147
MBNL1-AS1	18	19	18	6	19	9
MBNL2	91	63	70	36	81	37
MBNL3	2	2	2	0	1	1
MBOAT1	27	25	5	2	7	5
MBOAT2	191	143	115	45	49	33
MBOAT4	0	0	0	0	0	0
MBOAT7	27	16	26	11	40	22
MBP	2	1	32	17	6	6
MBTD1	75	70	51	26	40	34
MBTPS1	358	282	700	390	983	605
MBTPS2	17	16	20	8	10	12
MC1R	0	0	0	0	0	0
MC2R	0	0	0	0	0	0
MC3R	0	0	0	0	0	0
MC4R	0	0	0	0	0	0
MC5R	0	0	0	0	0	0
MCAM	7	5	8	2	4	1
MCAT	4	3	10	10	7	6
MCC	42	36	80	39	55	33
MCCC1	68	56	109	67	125	85
MCCC2	32	24	103	65	88	59
MCCD1	1	0	0	0	0	0
MCEE	0	0	4	2	2	1
MCEMP1	1	0	0	0	0	0
MCF2	2	0	0	0	1	2
MCF2L	1	1	6	1	5	7
MCF2L-AS1	0	0	0	0	0	0
MCF2L2	0	0	1	2	3	2
MCFD2	259	187	300	150	349	221
MCHR1	0	0	0	0	0	0
MCHR2	0	0	0	0	0	0
MCHR2-AS1	0	0	0	0	0	0
MCIDAS	0	0	0	0	0	0
MCL1	85	77	65	38	61	38
MCM10	1	3	3	2	1	2
MCM2	18	22	27	20	24	10
MCM3	43	29	52	26	61	45
MCM3AP	133	90	282	128	360	230
MCM3AP-AS1	17	14	28	14	47	28
MCM4	34	38	53	18	67	76
MCM5	34	24	18	13	17	7
MCM6	57	50	41	24	38	24
MCM7	70	48	132	61	138	83
MCM8	15	18	43	25	22	17
MCM8-AS1	4	2	6	3	4	2
MCM9	15	22	13	5	14	9
MCMBP	282	232	272	168	369	252
MCMDC2	2	3	1	0	6	5
MCOLN1	13	13	61	22	62	36
MCOLN2	6	6	9	3	0	1
MCOLN3	6	4	83	33	97	63
MCPH1	28	32	54	47	62	53
MCPH1-AS1	3	15	4	6	1	2
MCRS1	113	96	174	68	335	146
MCTP1	3	1	27	18	17	16
MCTP2	4	7	4	0	6	6
MCTS1	66	55	65	44	102	76
MCTS2P	12	3	20	6	25	18
MCU	118	66	56	33	66	41
MCUR1	61	33	201	105	191	85
MDC1	2	5	7	2	14	3
MDFI	1	0	0	0	0	0
MDFIC	42	27	16	14	26	23
MDGA1	5	4	16	12	23	29
MDGA2	0	0	0	0	0	0
MDH1	300	277	757	318	715	453
MDH1B	3	4	1	3	2	2
MDH2	231	201	353	161	368	211
MDK	13	10	4	4	7	5
MDM1	38	27	27	14	39	20
MDM2	642	651	907	497	1050	603
MDM4	41	48	49	20	111	63
MDN1	365	274	448	240	575	384
MDP1	18	11	43	17	31	22
MDS2	0	0	0	0	0	0
ME1	81	65	88	42	127	80
ME2	105	92	149	91	97	65
ME3	70	73	69	30	88	68
MEA1	23	31	38	21	45	34
MEAF6	90	90	167	66	138	80
MEAT6	0	0	0	0	0	0
MECOM	1	2	0	3	0	0
MECP2	5	2	10	7	6	5
MECR	30	23	37	15	22	14
MED1	93	62	173	102	159	125
MED10	23	20	30	22	43	32
MED11	4	3	25	9	6	3
MED12	78	59	78	39	123	51
MED12L	4	3	3	3	4	1
MED13	267	207	401	179	426	268
MED13L	446	286	388	230	326	200
MED14	90	72	76	42	157	75
MED14OS	1	0	0	0	1	1
MED15	53	22	77	16	49	26
MED15P9	0	0	0	0	0	0
MED16	48	50	61	11	44	28
MED17	61	54	78	65	82	52
MED18	18	6	15	10	15	11
MED19	10	6	13	7	15	12
MED20	12	7	22	12	26	10
MED21	21	28	39	16	29	13
MED22	14	5	22	11	15	7
MED23	252	182	365	187	369	200
MED24	102	75	183	75	188	95
MED25	24	15	39	19	32	20
MED26	1	0	2	0	2	1
MED27	22	20	32	16	24	23
MED28	52	52	67	37	36	22
MED29	15	9	45	11	27	18
MED30	10	11	12	7	5	6
MED31	33	22	37	16	50	46
MED4	70	54	76	37	65	49
MED4-AS1	23	41	58	50	36	30
MED6	85	55	110	45	143	70
MED7	3	2	3	2	3	4
MED8	95	68	167	65	253	143
MED9	0	0	0	0	0	0
MEDAG	11	17	24	13	5	11
MEF2A	93	57	439	265	233	154
MEF2B	5	9	2	5	6	4
MEF2BNB-MEF2B	21	17	39	22	38	30
MEF2C	0	3	15	9	9	6
MEF2C-AS1	0	0	0	0	0	0
MEF2D	17	12	40	4	19	17
MEFV	0	0	0	0	1	0
MEG3	168	123	716	313	1190	656
MEG8	17	16	15	8	29	14
MEG9	0	0	0	0	2	1
MEGF10	4	3	23	8	28	29
MEGF11	0	1	1	0	3	1
MEGF6	154	118	224	104	131	84
MEGF8	84	73	115	46	119	85
MEGF9	11	4	11	4	8	10
MEI1	0	0	16	1	9	1
MEI4	0	0	0	0	0	0
MEIG1	0	0	1	2	0	0
MEIKIN	0	0	0	0	0	0
MEIOB	2	2	9	10	6	8
MEIOC	0	0	2	1	0	0
MEIS1	101	73	73	37	91	44
MEIS1-AS2	16	13	10	5	11	11
MEIS1-AS3	0	0	1	0	1	0
MEIS2	107	111	182	75	61	66
MEIS3	84	61	132	50	159	111
MEIS3P1	0	0	0	1	0	0
MELK	20	21	36	20	41	22
MEMO1	28	45	121	84	131	88
MEN1	14	20	17	6	20	19
MEOX1	0	0	0	0	0	0
MEOX2	3	4	11	3	1	1
MEOX2-AS1	0	0	0	1	0	0
MEP1A	0	0	0	0	0	0
MEP1B	0	0	0	0	0	0
MEPCE	23	14	33	12	25	17
MEPE	0	0	0	0	0	0
MERTK	2	5	1	1	7	1
MESDC1	0	0	0	0	0	0
MESDC2	10	4	29	15	51	23
MESP1	0	0	0	0	0	0
MESP2	0	0	0	0	0	0
MEST	802	559	137	55	515	366
MESTIT1	0	0	0	0	0	0
MET	49	32	214	107	175	107
METAP1	89	69	111	54	144	70
METAP1D	7	11	24	6	19	12
METAP2	350	227	629	405	798	517
METRN	27	14	15	2	18	5
METRNL	21	14	55	35	43	14
METTL1	15	4	19	9	23	18
METTL10	24	18	49	27	59	41
METTL11B	0	0	0	0	0	0
METTL12	9	3	9	3	9	3
METTL13	26	20	40	26	41	31
METTL14	67	66	96	62	93	40
METTL15	17	34	45	14	39	25
METTL16	14	14	53	34	30	33
METTL17	79	61	93	49	141	83
METTL18	1	0	4	3	2	4
METTL20	0	1	4	0	1	3
METTL21A	0	1	6	0	10	10
METTL21B	1	11	4	0	10	0
METTL21C	1	0	1	0	0	1
METTL21EP	0	1	1	0	1	0
METTL22	21	34	46	31	80	41
METTL23	24	15	39	25	62	42
METTL24	0	0	0	0	0	0
METTL25	22	27	13	8	20	10
METTL2A	20	20	35	19	30	22
METTL2B	23	23	20	18	55	19
METTL3	140	94	166	86	204	119
METTL4	8	6	10	8	12	7
METTL5	139	99	198	81	210	147
METTL6	19	18	20	17	53	30
METTL7A	0	0	0	0	0	0
METTL7B	0	0	0	0	0	0
METTL8	27	15	65	96	75	38
METTL9	179	179	596	289	456	258
MEX3A	0	0	0	0	0	0
MEX3B	0	0	0	0	0	0
MEX3C	0	0	0	0	0	0
MEX3D	0	0	0	0	0	0
MFAP1	81	53	140	81	135	87
MFAP2	389	323	336	167	358	240
MFAP3	4	4	8	3	3	4
MFAP3L	1	0	1	0	1	0
MFAP4	616	460	129	44	274	235
MFAP5	28	35	19	13	14	13
MFF	246	254	277	144	412	260
MFGE8	767	607	685	313	686	477
MFHAS1	0	4	0	0	4	1
MFI2	10	11	6	1	0	1
MFI2-AS1	6	2	1	2	2	2
MFN1	144	103	458	218	562	294
MFN2	218	200	300	154	375	201
MFNG	0	0	0	0	0	0
MFRP	0	0	2	1	0	0
MFSD1	389	320	1231	638	1201	739
MFSD10	93	120	157	62	119	83
MFSD11	73	102	117	51	192	110
MFSD12	30	27	78	32	95	54
MFSD13A	6	1	6	11	4	3
MFSD14A	238	135	484	197	196	134
MFSD14B	102	111	125	44	176	155
MFSD14C	2	6	4	5	7	5
MFSD2A	5	3	0	2	12	1
MFSD2B	0	1	0	1	1	0
MFSD3	3	23	12	6	7	5
MFSD4	0	0	0	1	0	0
MFSD5	0	0	0	0	0	0
MFSD6	5	2	13	5	5	0
MFSD6L	0	0	0	0	0	0
MFSD7	22	12	19	7	13	5
MFSD8	44	33	46	36	65	52
MFSD9	5	7	11	5	9	5
MGA	73	46	100	61	107	54
MGAM	0	0	0	0	0	0
MGAM2	0	0	0	0	0	0
MGARP	42	15	11	5	9	12
MGAT1	5	3	6	2	6	2
MGAT2	0	0	0	0	0	0
MGAT3	0	0	0	0	0	0
MGAT3-AS1	0	0	0	0	0	0
MGAT4A	0	0	1	0	5	1
MGAT4B	293	178	801	377	625	440
MGAT4C	0	0	0	0	0	0
MGAT4D	0	0	0	0	0	0
MGAT4EP	0	0	0	0	0	0
MGAT5	42	35	131	78	109	62
MGAT5B	2	0	0	0	1	2
MGC12916	1	2	2	1	1	3
MGC15885	28	14	0	0	9	10
MGC16025	1	4	1	0	0	0
MGC16142	0	0	0	0	0	0
MGC16275	0	0	0	0	0	0
MGC27345	0	0	0	0	0	0
MGC27382	0	0	0	0	1	0
MGC2889	0	0	0	0	0	0
MGC32805	0	0	0	0	0	0
MGC34796	0	0	0	0	0	0
MGC39584	0	0	0	0	0	0
MGC45922	0	0	0	0	0	0
MGC57346	1	2	3	1	6	4
MGC57346-CRHR1	1	1	3	1	6	3
MGC70870	0	0	0	0	0	0
MGC72080	16	5	46	6	37	12
MGEA5	314	187	174	91	208	186
MGLL	41	31	94	62	104	61
MGME1	15	12	36	27	29	11
MGMT	19	14	43	16	35	31
MGP	20	13	618	292	256	197
MGRN1	40	14	65	27	51	27
MGST1	93	101	74	39	58	40
MGST2	31	20	29	9	35	22
MGST3	349	275	789	382	734	356
MHRT	0	0	0	0	0	0
MIA	0	0	0	1	0	0
MIA-RAB4B	14	13	19	5	16	7
MIA2	0	0	0	0	0	0
MIA3	347	253	535	251	835	499
MIAT	2	0	1	0	1	0
MIATNB	10	4	16	5	18	20
MIB1	308	244	433	209	741	532
MIB2	118	71	150	51	182	128
MICA	13	8	56	9	27	88
MICAL1	140	136	392	186	229	174
MICAL2	62	39	155	74	155	98
MICAL3	37	29	84	34	71	36
MICALCL	0	0	0	0	0	0
MICALL1	60	58	79	27	105	62
MICALL2	62	39	19	16	15	24
MICB	8	7	44	9	17	35
MICU1	156	114	253	110	156	98
MICU2	97	149	182	117	207	140
MICU3	66	37	35	19	43	26
MID1	41	50	41	32	38	26
MID1IP1	0	0	1	0	0	0
MID1IP1-AS1	3	1	3	7	3	2
MID2	8	28	18	6	11	5
MIDN	3	5	4	0	7	8
MIEF1	12	5	21	21	14	8
MIEF2	3	5	6	4	4	2
MIEN1	38	19	72	28	66	52
MIER1	146	105	235	113	330	203
MIER2	11	11	11	10	11	7
MIER3	101	69	88	39	63	32
MIF	349	286	220	118	213	122
MIF-AS1	0	1	1	0	0	0
MIF4GD	12	6	12	1	25	17
MIIP	21	14	16	16	32	17
MILR1	4	0	6	0	0	3
MIMT1	0	0	0	0	0	0
MINA	41	33	71	44	103	69
MINCR	13	14	14	5	31	34
MINK1	89	47	195	100	210	117
MINOS1	73	75	192	184	199	146
MINOS1-NBL1	187	108	213	154	231	201
MINOS1P1	0	0	16	8	32	16
MINPP1	33	54	40	16	42	28
MIOS	60	54	52	29	76	51
MIOX	1	1	0	0	0	0
MIP	0	0	0	0	0	1
MIPEP	60	47	124	65	99	46
